paper,venue,month,file,sentence_count,estimated_alpha
Quantifying large language model usage in scientific papers,CS,2022_11,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/CS/2022_11.parquet,15619,0.023299249390395314
Quantifying large language model usage in scientific papers,CS,2024_9,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/CS/2024_9.parquet,15375,0.2250686902904075
Quantifying large language model usage in scientific papers,EESS,2022_11,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/EESS/2022_11.parquet,5841,0.02919254071781347
Quantifying large language model usage in scientific papers,EESS,2024_9,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/EESS/2024_9.parquet,5215,0.1801976970011283
Quantifying large language model usage in scientific papers,Math,2022_11,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/Math/2022_11.parquet,10971,0.024332579846737167
Quantifying large language model usage in scientific papers,Math,2024_9,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/Math/2024_9.parquet,9049,0.07766119720192181
Quantifying large language model usage in scientific papers,Phys,2022_11,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/Phys/2022_11.parquet,14222,0.026265545934180817
Quantifying large language model usage in scientific papers,Phys,2024_9,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/Phys/2024_9.parquet,13711,0.09747926246522315
Quantifying large language model usage in scientific papers,Stat,2022_11,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/Stat/2022_11.parquet,3056,0.02906457349484822
Quantifying large language model usage in scientific papers,Stat,2024_9,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/arxiv/Stat/2024_9.parquet,2058,0.1296052411337199
Quantifying large language model usage in scientific papers,bioRxiv,2022_11,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/biorxiv/2022_11.parquet,20117,0.02816739951377255
Quantifying large language model usage in scientific papers,bioRxiv,2024_9,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/biorxiv/2024_9.parquet,19216,0.10301116426412804
Quantifying large language model usage in scientific papers,Nature,2022_11,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/nature/2022_11.parquet,8413,0.034155586380818524
Quantifying large language model usage in scientific papers,Nature,2024_9,/Users/mushroom/Desktop/LLM-Assisted-Scientific-Writing/method_reproduction/official_data/inference_data/nature/2024_9.parquet,9353,0.08886606671983939
